[0.001, 0.0001, 'ResNet50', '49', '0.004374186699852872', '0.0338154093559727']
[0.001, 0.0001, 'ResNet50', '99', '0.00015094735640076206', '0.00024701732776823794']
[0.001, 0.0001, 'ResNet50', '49', '0.0028804803241086288', '0.04556756789083547']
[0.001, 0.0001, 'ResNet50', '99', '0.0007448264482876343', '0.002252345394399204']
[0.001, 0.0001, 'ResNet50', '49', '0.0028936489753839624', '0.07667853450427334']
[0.001, 0.0001, 'ResNet50', '99', '0.0005944166413843413', '0.0014765045296533102']
[0.001, 0.0001, 'ResNet50', '49', '0.0018071067284967939', '0.009505916913147117']
[0.001, 0.0001, 'ResNet50', '99', '0.00018287218989321104', '0.00049558741709971']
[0.001, 0.0001, 'ResNet50', '49', '0.002119487358662718', '0.017018936627615187']
[0.001, 0.0001, 'ResNet50', '99', '0.0003379771076627534', '0.0006203475217448746']
[0.001, 0.0001, 'ResNet50', '99', '0.00015085072599651354', '0.013739450054525603']
[0.001, 0.0001, 'ResNet50', '99', '0.00015085072599651354', '0.013739450054525603']
[0.001, 0.0001, 'ResNet50', '99', '8.331159720367946e-05', '0.00020993482251337664']
