[0.01, 1e-06, 'ResNet50', '999', '0.04001650955141524', '0.4850420765614885'],
[0.01, 1e-06, 'ResNet50', '14999', '0.7166189513471246', '0.6031794988494683'],
[0.01, 1e-06, 'ResNet50', '13999', '0.7225145465290503', '0.6058034587171099'],
[0.01, 1e-06, 'ResNet50', '12999', '0.6917111747036999', '0.5589672201455939'],
[0.01, 1e-06, 'ResNet50', '11999', '0.7071715492755073', '0.6189020194452557'],
[0.01, 1e-06, 'ResNet50', '10999', '0.7302433233517632', '0.6154474515012281'],
[0.01, 1e-06, 'ResNet50', '9999', '0.6497938472789206', '0.5965815417791044'],
[0.01, 1e-06, 'ResNet50', '8999', '0.65981117883034', '0.6261912650852296'],
[0.01, 1e-06, 'ResNet50', '7999', '0.7636139103990778', '0.6348371458746606'],
[0.01, 1e-06, 'ResNet50', '6999', '0.8041518642303815', '0.6204887461167188'],
[0.01, 1e-06, 'ResNet50', '5999', '0.5707872045144962', '0.5813566943524466'],
[0.01, 1e-06, 'ResNet50', '4999', '0.6446690213666258', '0.5857732256537462'],
[0.01, 1e-06, 'ResNet50', '3999', '0.48264838175514785', '0.5651593260320033'],
[0.01, 1e-06, 'ResNet50', '2999', '0.43325337360725946', '0.5511316359761446'],
[0.01, 1e-06, 'ResNet50', '1999', '0.27635506548682365', '0.48590014713871776'],
[0.001, 1e-06, 'ResNet50', '999', '0.058803197567688904', '0.1882144489765881'],
[0.001, 1e-06, 'ResNet50', '14999', '0.5936957026522343', '0.5402245895185652'],
[0.001, 1e-06, 'ResNet50', '13999', '0.6199724220296432', '0.5665911401960259'],
[0.001, 1e-06, 'ResNet50', '12999', '0.6010036521317742', '0.531516993613727'],
[0.001, 1e-06, 'ResNet50', '11999', '0.6516949652269712', '0.6022224654248249'],
[0.001, 1e-06, 'ResNet50', '10999', '0.6229861848764557', '0.5580371912617285'],
[0.001, 1e-06, 'ResNet50', '9999', '0.6376370756333773', '0.5351706036391418'],
[0.001, 1e-06, 'ResNet50', '8999', '0.6413324682637558', '0.5833790775041079'],
[0.001, 1e-06, 'ResNet50', '7999', '0.6500506147096058', '0.5337839516875903'],
[0.001, 1e-06, 'ResNet50', '6999', '0.5455896596725587', '0.5961335689451731'],
[0.001, 1e-06, 'ResNet50', '5999', '0.511761148406751', '0.49234331118894314'],
[0.001, 1e-06, 'ResNet50', '4999', '0.5263382006755609', '0.5396593639567588'],
[0.001, 1e-06, 'ResNet50', '3999', '0.46319215089069293', '0.5083892796588707'],
[0.001, 1e-06, 'ResNet50', '2999', '0.2916082198735359', '0.44931254512673674'],
[0.02, 1e-06, 'ResNet50', '999', '0.032449609923907594', '0.28447932499982126'],
[0.001, 1e-06, 'ResNet50', '1999', '0.26472247689131007', '0.410698249524426'],
[0.02, 1e-06, 'ResNet50', '14999', '0.6703240013404239', '0.5834267680101125'],
[0.02, 1e-06, 'ResNet50', '13999', '0.5896060269372232', '0.5956505965070307'],
[0.02, 1e-06, 'ResNet50', '12999', '0.6794671071121731', '0.6299174008556925'],
[0.02, 1e-06, 'ResNet50', '11999', '0.7293760959058249', '0.6100456813759172'],
[0.02, 1e-06, 'ResNet50', '10999', '0.7416396762480664', '0.5943592893074838'],
[0.02, 1e-06, 'ResNet50', '9999', '0.6569668256719622', '0.5786323514815094'],
[0.02, 1e-06, 'ResNet50', '8999', '0.6297084078892768', '0.5643894878760048'],
[0.02, 1e-06, 'ResNet50', '7999', '0.6500698537555796', '0.5771137178209172'],
[0.02, 1e-06, 'ResNet50', '6999', '0.5744370211919118', '0.5698619805452375'],
[0.02, 1e-06, 'ResNet50', '5999', '0.48876664308694834', '0.5925003712107044'],
[0.02, 1e-06, 'ResNet50', '4999', '0.276132011507573', '0.4980505111554162'],
[0.02, 1e-06, 'ResNet50', '3999', '0.11993395396618418', '0.4565597283945812'],
[0.005, 1e-06, 'ResNet50', '999', '0.1003853791500853', '0.24862355955093393'],
[0.02, 1e-06, 'ResNet50', '2999', '0.23044697971082764', '0.43716939521067977'],
[0.005, 1e-06, 'ResNet50', '14999', '0.7070957284950534', '0.6277574831216093'],
[0.005, 1e-06, 'ResNet50', '13999', '0.6974615737991412', '0.5859709119823726'],
[0.02, 1e-06, 'ResNet50', '1999', '0.30885956189243957', '0.5879393819743834'],
[0.005, 1e-06, 'ResNet50', '12999', '0.7280848563910755', '0.629659974802993'],
[0.005, 1e-06, 'ResNet50', '11999', '0.7586879217588638', '0.6143126870040803'],
[0.005, 1e-06, 'ResNet50', '10999', '0.6998569690227135', '0.6548725013198672'],
[0.003, 1e-06, 'ResNet50', '999', '0.1371147091272363', '0.196028388621768'],
[0.005, 1e-06, 'ResNet50', '9999', '0.674337112232363', '0.587342002178258'],
[0.005, 1e-06, 'ResNet50', '8999', '0.7195951525578883', '0.6276309840894383'],
[0.005, 1e-06, 'ResNet50', '7999', '0.7581808885257677', '0.6552015864697014'],
[0.005, 1e-06, 'ResNet50', '6999', '0.7085051000791704', '0.6025499066424403'],
[0.005, 1e-06, 'ResNet50', '5999', '0.5583198547055688', '0.6257444438732265'],
[0.003, 1e-06, 'ResNet50', '14999', '0.705371173412005', '0.6137631418291457'],
[0.005, 1e-06, 'ResNet50', '4999', '0.7129362682371335', '0.5409744856170624'],
[0.005, 1e-06, 'ResNet50', '3999', '0.5476312926255413', '0.5144807717686716'],
[0.003, 1e-06, 'ResNet50', '13999', '0.6523104102492832', '0.5824958168749657'],
[0.005, 1e-06, 'ResNet50', '2999', '0.42456463130619415', '0.6036433209585629'],
[0.005, 1e-06, 'ResNet50', '1999', '0.25562185214510225', '0.4534680945663566'],
[0.003, 1e-06, 'ResNet50', '12999', '0.6800091139106881', '0.5985489547567202'],
[0.003, 1e-06, 'ResNet50', '11999', '0.7043317450889646', '0.590768914794383'],
[0.003, 1e-06, 'ResNet50', '10999', '0.6464490641397334', '0.5554839990074745'],
[0.003, 1e-06, 'ResNet50', '9999', '0.66566571314214', '0.6020314995778118'],
[0.003, 1e-06, 'ResNet50', '8999', '0.7420081804309755', '0.643895365656069'],
[0.003, 1e-06, 'ResNet50', '7999', '0.5575561054792935', '0.5485228487176064'],
[0.003, 1e-06, 'ResNet50', '6999', '0.6218729673399322', '0.5683992887487015'],
[0.003, 1e-06, 'ResNet50', '5999', '0.6277776814557094', '0.5822460946372431'],
[0.003, 1e-06, 'ResNet50', '4999', '0.5464497286330503', '0.5268449962512666'],
[0.003, 1e-06, 'ResNet50', '3999', '0.6212877768655841', '0.5780899181265922'],
[0.003, 1e-06, 'ResNet50', '2999', '0.4824337348809049', '0.5375392034302157'],
[0.003, 1e-06, 'ResNet50', '1999', '0.3250347459637395', '0.4502723196673508'],
[0.007, 1e-06, 'ResNet50', '999', '0.07599985541475346', '0.16431812370951307'],
[0.007, 1e-06, 'ResNet50', '14999', '0.7341662760181269', '0.6165413836368241'],
[0.007, 1e-06, 'ResNet50', '13999', '0.762723694120133', '0.6167336785019211'],
[0.007, 1e-06, 'ResNet50', '12999', '0.6003237261087528', '0.6276939865333655'],
