[1e-05, 0.01, 'ResNet50', '999', '2.666785190452909e-05', '2.728538810622353e-05']
[0.001, 0.01, 'ResNet50', '999', '0.10514957209852871', '0.20527857138191968']
[0.01, 0.01, 'ResNet50', '999', '0.06496731466319529', '0.2582095311588757']
[0.001, 0.01, 'ResNet50', '14999', '0.6597308110887254', '0.5947185225969157']
[0.001, 0.01, 'ResNet50', '13999', '0.6703573796274658', '0.5672621870401102']
[0.01, 0.01, 'ResNet50', '14999', '0.42848492228299745', '0.46679826743214836']
[0.001, 0.01, 'ResNet50', '12999', '0.5759487114978981', '0.572277027714766']
[0.01, 0.01, 'ResNet50', '13999', '0.461966504471987', '0.5759951319910555']
[1e-05, 0.01, 'ResNet50', '14999', '0.0030928158848513567', '0.031632747060201805']
[0.001, 0.01, 'ResNet50', '11999', '0.5992249493610704', '0.6108974115337533']
[0.001, 0.01, 'ResNet50', '10999', '0.5238677286073867', '0.5806161661188035']
[0.01, 0.01, 'ResNet50', '12999', '0.04004526837252272', '0.6314252979978853']
[0.001, 0.01, 'ResNet50', '9999', '0.4380438278451889', '0.5309988579825133']
[0.01, 0.01, 'ResNet50', '11999', '0.4367094647275563', '0.4657546501441823']
[0.0001, 0.01, 'ResNet50', '999', '0.007297511505269383', '0.11851406342350837']
[0.001, 0.01, 'ResNet50', '8999', '0.5950104133562565', '0.5559476706496828']
[1e-05, 0.01, 'ResNet50', '13999', '0.0032060728181244552', '0.029564603528345786']
[0.001, 0.01, 'ResNet50', '7999', '0.6625541820368892', '0.5216747021105804']
[0.01, 0.01, 'ResNet50', '10999', '0.387981822127645', '0.5195358882222019']
[0.0001, 0.01, 'ResNet50', '14999', '0.373149574040463', '0.3755153872645498']
[0.001, 0.01, 'ResNet50', '6999', '0.3989778729606277', '0.5437141772669621']
[0.01, 0.01, 'ResNet50', '9999', '0.34227316754041726', '0.52277027573963']
[0.0001, 0.01, 'ResNet50', '13999', '0.3506893803791746', '0.402204786948516']
[0.001, 0.01, 'ResNet50', '5999', '0.3849799334127748', '0.5870027730074115']
[0.0001, 0.01, 'ResNet50', '12999', '0.3604097673818024', '0.42396276598441063']
[0.01, 0.01, 'ResNet50', '8999', '0.29604551819499403', '0.592039054232995']
[0.001, 0.01, 'ResNet50', '4999', '0.45088576390011026', '0.4720019194715885']
