[0.01, 0.01, 'ResNet50', '999', '0.034352844504589204', '0.21312406401270928'],
[0.01, 0.01, 'ResNet50', '14999', '0.45637226162854716', '0.5892695397346833'],
[0.01, 0.01, 'ResNet50', '13999', '0.02308599688794024', '0.27000354427828427'],
[0.01, 0.01, 'ResNet50', '12999', '0.07173019502573544', '0.4281549360034866'],
[0.01, 0.01, 'ResNet50', '11999', '0.17593479688320465', '0.473241187255989'],
[0.01, 0.01, 'ResNet50', '10999', '0.29568184532709546', '0.4277818482203298'],
[0.01, 0.01, 'ResNet50', '9999', '0.3007048877636277', '0.6894863671332218'],
[0.01, 0.01, 'ResNet50', '8999', '0.06300933963973177', '0.28807170516710634'],
[0.01, 0.01, 'ResNet50', '7999', '0.173282313160334', '0.3872267900457605'],
[0.01, 0.01, 'ResNet50', '6999', '0.21886799171309557', '0.49576711847393967'],
[0.01, 0.01, 'ResNet50', '5999', '0.45006459046437497', '0.571234095979006'],
[0.01, 0.01, 'ResNet50', '4999', '0.12952109236342807', '0.5709302817527752'],
[0.01, 0.01, 'ResNet50', '3999', '0.4148531861894626', '0.4789333467904763'],
[1e-05, 0.01, 'ResNet50', '999', '0.002424195455581183', '0.007592659722695455'],
[0.01, 0.01, 'ResNet50', '2999', '0.2645244693685423', '0.31109414736357016'],
[0.01, 0.01, 'ResNet50', '1999', '0.11289706606535951', '0.43507314531918195'],
[0.001, 0.01, 'ResNet50', '999', '0.0014860555480175727', '0.17146810867367218'],
[1e-05, 0.01, 'ResNet50', '14999', '0.008740213556751673', '0.03054944812538541'],
[0.001, 0.01, 'ResNet50', '14999', '0.5115061324369077', '0.5614967711205721'],
[0.001, 0.01, 'ResNet50', '13999', '0.5359369372290198', '0.5246460108366076'],
[0.0001, 0.01, 'ResNet50', '999', '0.009870278445927206', '0.07699450383187587'],
[0.001, 0.01, 'ResNet50', '12999', '0.33098323950800806', '0.5031417212249136'],
[1e-05, 0.01, 'ResNet50', '13999', '0.009870638654436235', '0.03774066986667935'],
[0.0001, 0.01, 'ResNet50', '14999', '0.32007094012101495', '0.37100599074986873'],
[0.001, 0.01, 'ResNet50', '11999', '0.5612765792931991', '0.5790999422363697'],
[0.0001, 0.01, 'ResNet50', '13999', '0.38693063829328467', '0.4079345411660015'],
[0.001, 0.01, 'ResNet50', '10999', '0.452000320926717', '0.5439497298365213'],
[0.0001, 0.01, 'ResNet50', '12999', '0.3467790273943699', '0.3645269943798545'],
[0.001, 0.01, 'ResNet50', '9999', '0.6293281463099286', '0.5516499656647678'],
[0.0001, 0.01, 'ResNet50', '11999', '0.353821338927477', '0.3664622901032558'],
[0.001, 0.01, 'ResNet50', '8999', '0.4366701309815396', '0.470897180354035'],
[1e-05, 0.01, 'ResNet50', '12999', '0.011305186719417508', '0.045946290315504054'],
[0.0001, 0.01, 'ResNet50', '10999', '0.3036072997158585', '0.3616247457627004'],
[0.001, 0.01, 'ResNet50', '7999', '0.45991866479260785', '0.6230797307890995'],
[0.0001, 0.01, 'ResNet50', '9999', '0.2676245316815985', '0.32264123076502027'],
[0.001, 0.01, 'ResNet50', '6999', '0.4537108362743978', '0.46903055318446524'],
[0.0001, 0.01, 'ResNet50', '8999', '0.18702936208527973', '0.2913725905138874'],
[0.001, 0.01, 'ResNet50', '5999', '0.4598897176547336', '0.5436346346164813'],
[0.0001, 0.01, 'ResNet50', '7999', '0.22094653334131548', '0.3418058480169596'],
[0.001, 0.01, 'ResNet50', '4999', '0.34011021925438867', '0.5065067506522174'],
[0.0001, 0.01, 'ResNet50', '6999', '0.17567765790784948', '0.2881862362175781'],
[1e-05, 0.01, 'ResNet50', '11999', '0.013058037681825452', '0.06603594969850021'],
[0.001, 0.01, 'ResNet50', '3999', '0.3659291237855318', '0.5076863779662855'],
[0.0001, 0.01, 'ResNet50', '5999', '0.0665980434344706', '0.2136499997063698'],
[0.001, 0.01, 'ResNet50', '2999', '0.3323389566548094', '0.45487971055871607'],
[0.001, 0.01, 'ResNet50', '1999', '0.2252378683363998', '0.33271417588098773'],
[0.0001, 0.01, 'ResNet50', '4999', '0.07621619235153156', '0.22657219690711847'],
[1e-05, 0.01, 'ResNet50', '10999', '0.011976003483454054', '0.0623663652864486'],
[0.0001, 0.01, 'ResNet50', '3999', '0.039479305391986595', '0.14471089708313534'],
[0.0001, 0.01, 'ResNet50', '2999', '0.019795764191393655', '0.1545269879847479'],
[1e-05, 0.01, 'ResNet50', '9999', '0.01352248605801464', '0.10276911783535192'],
[0.0001, 0.01, 'ResNet50', '1999', '0.024544970573715526', '0.12656062429483736'],
[1e-05, 0.01, 'ResNet50', '8999', '0.011896636609151722', '0.08630805481616852'],
[1e-05, 0.01, 'ResNet50', '7999', '0.01176172590143048', '0.07811259587230016'],
[1e-05, 0.01, 'ResNet50', '6999', '0.011789410326037997', '0.1424895545450335'],
[1e-05, 0.01, 'ResNet50', '5999', '0.012073042785521326', '0.13537276491644706'],
[1e-05, 0.01, 'ResNet50', '4999', '0.012047130773384665', '0.1413205665703935'],
[1e-05, 0.01, 'ResNet50', '3999', '0.0035617414019659442', '0.011686789744740519'],
[1e-05, 0.01, 'ResNet50', '2999', '0.0005263616115001009', '0.0008033485548688704'],
[1e-05, 0.01, 'ResNet50', '1999', '0.0002520530394125737', '0.00028430733683949957'],
