[0.001, 0.01, 'ResNet50', '999', '0.2758544193266473', '0.27816749997725937'],
[0.001, 0.01, 'ResNet50', '14999', '0.4361440250852141', '0.5163588759709556'],
[0.001, 0.01, 'ResNet50', '13999', '0.5565430069596646', '0.512508439592251'],
[0.001, 0.01, 'ResNet50', '12999', '0.41513759991901794', '0.5179988982860648'],
[0.001, 0.01, 'ResNet50', '11999', '0.523084174024483', '0.5274520750995156'],
[1e-05, 0.01, 'ResNet50', '999', '0.00022933933498741057', '0.000322904840172283'],
[0.01, 0.01, 'ResNet50', '999', '0.11317770148360635', '0.4610078351276513'],
[0.001, 0.01, 'ResNet50', '10999', '0.5206458489202113', '0.5181300069940619'],
[0.001, 0.01, 'ResNet50', '9999', '0.5766210606282316', '0.563225079335995'],
[0.001, 0.01, 'ResNet50', '8999', '0.6770015866000092', '0.5508769962613123'],
[0.01, 0.01, 'ResNet50', '14999', '0.378617176727993', '0.5359463774047482'],
[0.0001, 0.01, 'ResNet50', '999', '0.002713036573985935', '0.014056950105776008'],
[0.001, 0.01, 'ResNet50', '7999', '0.517261008392035', '0.5651499155555018'],
[0.01, 0.01, 'ResNet50', '13999', '0.18005572540805007', '0.47622846931452545'],
[0.001, 0.01, 'ResNet50', '6999', '0.5513956394723382', '0.5102075849690086'],
[0.0001, 0.01, 'ResNet50', '14999', '0.369587436023579', '0.4251573820994645'],
[0.001, 0.01, 'ResNet50', '5999', '0.6019329310113652', '0.5568261031970726'],
[0.01, 0.01, 'ResNet50', '12999', '0.11933405487438775', '0.46137810896738074'],
[0.0001, 0.01, 'ResNet50', '13999', '0.37245756102431515', '0.36219374683626604'],
[0.001, 0.01, 'ResNet50', '4999', '0.5544689001353504', '0.55110584645449'],
[0.0001, 0.01, 'ResNet50', '12999', '0.38845879445479614', '0.3973486181037097'],
[0.01, 0.01, 'ResNet50', '11999', '0.0419225123842983', '0.2948557344454358'],
[0.001, 0.01, 'ResNet50', '3999', '0.42353490112211567', '0.5627604600101199'],
[1e-05, 0.01, 'ResNet50', '14999', '0.007488354123320162', '0.0509300947480541'],
[0.0001, 0.01, 'ResNet50', '11999', '0.3556416134049396', '0.3816170313139913'],
[0.001, 0.01, 'ResNet50', '2999', '0.35701557344950907', '0.5222174152120072'],
[0.01, 0.01, 'ResNet50', '10999', '0.194081085908818', '0.6149379736821627'],
[0.0001, 0.01, 'ResNet50', '10999', '0.28369867053303494', '0.3725683776271186'],
[0.001, 0.01, 'ResNet50', '1999', '0.24709766642389847', '0.46214063646347003'],
[0.0001, 0.01, 'ResNet50', '9999', '0.28654736027813177', '0.341114234906427'],
[0.01, 0.01, 'ResNet50', '9999', '0.029637980560487064', '0.5251495909661824'],
[0.0001, 0.01, 'ResNet50', '8999', '0.2530329577876557', '0.335613112549389'],
[1e-05, 0.01, 'ResNet50', '13999', '0.008275796137265895', '0.04923025222558024'],
[0.0001, 0.01, 'ResNet50', '7999', '0.2809450730317802', '0.35226691929367865'],
[0.01, 0.01, 'ResNet50', '8999', '0.06975668563314133', '0.5841272136344668'],
[0.0001, 0.01, 'ResNet50', '6999', '0.22066448115828513', '0.3034415534717397'],
[0.01, 0.01, 'ResNet50', '7999', '0.3529561563613771', '0.4664420303998371'],
[0.0001, 0.01, 'ResNet50', '5999', '0.13750709476866146', '0.23188991269843567'],
[1e-05, 0.01, 'ResNet50', '12999', '0.008792964586148125', '0.050631810774519614'],
