[0.001, 1e-06, 'ResNet50', '999', '0.01628538111604932', '0.14977993826926816'],
[0.001, 1e-06, 'ResNet50', '14999', '0.6072738144864032', '0.5562715487988794'],
[0.001, 1e-06, 'ResNet50', '13999', '0.5819437780409017', '0.5410905734647714'],
[0.001, 1e-06, 'ResNet50', '12999', '0.6472805446382242', '0.5370466889042674'],
[0.001, 1e-06, 'ResNet50', '11999', '0.6094075687377025', '0.5277233803022574'],
[0.001, 1e-06, 'ResNet50', '10999', '0.538116647686109', '0.5592603048087288'],
[0.001, 1e-06, 'ResNet50', '9999', '0.5283709109218451', '0.5675262845347481'],
[0.01, 1e-06, 'ResNet50', '999', '0.0330934784254512', '0.06575936166520395'],
[0.001, 1e-06, 'ResNet50', '8999', '0.5244022935854712', '0.5357288459800723'],
[0.01, 1e-06, 'ResNet50', '14999', '0.7443052150967981', '0.603288135405364'],
[0.001, 1e-06, 'ResNet50', '7999', '0.5137772408367332', '0.4883101471227637'],
[0.01, 1e-06, 'ResNet50', '13999', '0.7795935301110035', '0.6174421947090935'],
[0.001, 1e-06, 'ResNet50', '6999', '0.5483896910843693', '0.5181545159133033'],
[0.01, 1e-06, 'ResNet50', '12999', '0.7523681494829162', '0.6178469282115182'],
[0.01, 1e-06, 'ResNet50', '11999', '0.77218186987986', '0.6000339319511989'],
[0.001, 1e-06, 'ResNet50', '5999', '0.434481995740826', '0.49004488322935646'],
[0.01, 1e-06, 'ResNet50', '10999', '0.7354233250386489', '0.6334717743848328'],
[0.001, 1e-06, 'ResNet50', '4999', '0.4109342424907713', '0.4749433660467292'],
[0.01, 1e-06, 'ResNet50', '9999', '0.5658242031664203', '0.5422724162754253'],
[0.01, 1e-06, 'ResNet50', '8999', '0.7054368598159982', '0.6371794520770072'],
[0.001, 1e-06, 'ResNet50', '3999', '0.40168404576427824', '0.46655920922430844'],
[0.01, 1e-06, 'ResNet50', '7999', '0.6422776661031493', '0.5638374939988196'],
[0.001, 1e-06, 'ResNet50', '2999', '0.3496415227574595', '0.4704055849519494'],
[0.01, 1e-06, 'ResNet50', '6999', '0.6518293194602403', '0.6133909046838167'],
[0.01, 1e-06, 'ResNet50', '5999', '0.662113293078357', '0.5440069508794558'],
[0.001, 1e-06, 'ResNet50', '1999', '0.23397918502860673', '0.3978824517958207'],
[0.01, 1e-06, 'ResNet50', '4999', '0.7429710521560238', '0.6104091919487179'],
[0.01, 1e-06, 'ResNet50', '3999', '0.5430029589395454', '0.6215032754132915'],
[0.01, 1e-06, 'ResNet50', '2999', '0.23267607001391727', '0.39567751530234857'],
[0.01, 1e-06, 'ResNet50', '1999', '0.08092010571830256', '0.22003073879312934'],
[0.005, 1e-06, 'ResNet50', '999', '0.18628177851737868', '0.4051496463214024'],
[0.003, 1e-06, 'ResNet50', '999', '0.10913777077686486', '0.21464139124168766'],
[0.005, 1e-06, 'ResNet50', '14999', '0.7257048942057014', '0.606693354081061'],
[0.003, 1e-06, 'ResNet50', '14999', '0.6616755215983152', '0.6142945685271706'],
[0.005, 1e-06, 'ResNet50', '13999', '0.7238178043763157', '0.6363685685660831'],
[0.003, 1e-06, 'ResNet50', '13999', '0.6604043848104661', '0.5746626202223799'],
[0.005, 1e-06, 'ResNet50', '12999', '0.6651475765116042', '0.5982056919477052'],
[0.003, 1e-06, 'ResNet50', '12999', '0.6885506328678701', '0.5778437587215188'],
[0.005, 1e-06, 'ResNet50', '11999', '0.7314010037399388', '0.6292335745778702'],
[0.003, 1e-06, 'ResNet50', '11999', '0.6868933424881684', '0.607287911513758'],
[0.005, 1e-06, 'ResNet50', '10999', '0.7482182328502912', '0.6196666051073957'],
[0.003, 1e-06, 'ResNet50', '10999', '0.6511697892626157', '0.613093398871905'],
[0.005, 1e-06, 'ResNet50', '9999', '0.6707636919103741', '0.620163277564876'],
[0.003, 1e-06, 'ResNet50', '9999', '0.60922190034372', '0.5647800797383439'],
[0.005, 1e-06, 'ResNet50', '8999', '0.714936743592377', '0.6244078210935582'],
[0.003, 1e-06, 'ResNet50', '8999', '0.7297712597149623', '0.5824631795468916'],
[0.005, 1e-06, 'ResNet50', '7999', '0.7484151132856874', '0.5961373686907975'],
[0.003, 1e-06, 'ResNet50', '7999', '0.7262091410687268', '0.6196162642083543'],
[0.005, 1e-06, 'ResNet50', '6999', '0.6560160552799558', '0.5762245950546345'],
[0.003, 1e-06, 'ResNet50', '6999', '0.595788578008803', '0.5910354465538855'],
[0.005, 1e-06, 'ResNet50', '5999', '0.6801700710029923', '0.6339241620172362'],
[0.003, 1e-06, 'ResNet50', '5999', '0.7024851549552154', '0.6433201558794527'],
[0.005, 1e-06, 'ResNet50', '4999', '0.6482806601739919', '0.5929537235092601'],
[0.003, 1e-06, 'ResNet50', '4999', '0.6644840216260975', '0.5859720687910999'],
[0.005, 1e-06, 'ResNet50', '3999', '0.5981990561657452', '0.5472549728976162'],
[0.003, 1e-06, 'ResNet50', '3999', '0.652509067683493', '0.6295526883429845'],
[0.005, 1e-06, 'ResNet50', '2999', '0.5871165538928562', '0.5764242793208949'],
[0.003, 1e-06, 'ResNet50', '2999', '0.46934308265376573', '0.5183463884531048'],
[0.005, 1e-06, 'ResNet50', '1999', '0.5963131217557621', '0.6541599137811744'],
[0.007, 1e-06, 'ResNet50', '999', '0.09975637012093203', '0.27237971995336147'],
[0.003, 1e-06, 'ResNet50', '1999', '0.3250503886784653', '0.3933643617815933'],
[0.007, 1e-06, 'ResNet50', '14999', '0.746728599213123', '0.610358962571488'],
[0.007, 1e-06, 'ResNet50', '13999', '0.7374736468392852', '0.6629680541648003'],
[0.007, 1e-06, 'ResNet50', '12999', '0.6942809991892199', '0.6282070640998687'],
[0.007, 1e-06, 'ResNet50', '11999', '0.7218411292142219', '0.5741559245639583'],
[0.007, 1e-06, 'ResNet50', '10999', '0.7004049895234241', '0.5506106690415706'],
