[0.01, 1e-06, 'ResNet50', '999', '0.04341613758052533', '0.43536901980695086'],
[0.01, 1e-06, 'ResNet50', '14999', '0.7132921395184356', '0.5683016241512087'],
[0.01, 1e-06, 'ResNet50', '13999', '0.7491766697988013', '0.6223619026343471'],
[0.01, 1e-06, 'ResNet50', '12999', '0.6773446916400776', '0.6086141792435125'],
[0.01, 1e-06, 'ResNet50', '11999', '0.6894210328994037', '0.6524877149159216'],
[0.01, 1e-06, 'ResNet50', '10999', '0.6655348709159391', '0.5789072167150052'],
[0.01, 1e-06, 'ResNet50', '9999', '0.7315046003080111', '0.6017811978583325'],
[0.01, 1e-06, 'ResNet50', '8999', '0.7854227143805198', '0.6501405804774717'],
[0.01, 1e-06, 'ResNet50', '7999', '0.5487781549808438', '0.5747351552527806'],
[0.01, 1e-06, 'ResNet50', '6999', '0.6863624883138202', '0.6163098934024015'],
[0.01, 1e-06, 'ResNet50', '5999', '0.7374900445767478', '0.5985467473157453'],
[0.01, 1e-06, 'ResNet50', '4999', '0.6300343413866559', '0.5915227229941534'],
[0.001, 1e-06, 'ResNet50', '999', '0.07471741472452986', '0.22988412639731695'],
[0.01, 1e-06, 'ResNet50', '3999', '0.47590280727478956', '0.5558730833217238'],
[0.01, 1e-06, 'ResNet50', '2999', '0.4509997824232389', '0.6273733548364169'],
[0.001, 1e-06, 'ResNet50', '14999', '0.6589032341871897', '0.6124842206380711'],
[0.001, 1e-06, 'ResNet50', '13999', '0.6302954843977031', '0.5573216850807464'],
[0.01, 1e-06, 'ResNet50', '1999', '0.14264075637841883', '0.36152361048533743'],
[0.001, 1e-06, 'ResNet50', '12999', '0.6303198748144754', '0.5985808788403492'],
[0.001, 1e-06, 'ResNet50', '11999', '0.6449035684921278', '0.5402505111819159'],
[0.001, 1e-06, 'ResNet50', '10999', '0.5752746904819537', '0.5491310388369519'],
[0.001, 1e-06, 'ResNet50', '9999', '0.6123766390504561', '0.5649175180817058'],
[0.001, 1e-06, 'ResNet50', '8999', '0.6119910343819523', '0.5754328176671859'],
[0.001, 1e-06, 'ResNet50', '7999', '0.5878168282305735', '0.5757450613145568'],
[0.001, 1e-06, 'ResNet50', '6999', '0.5860872306659125', '0.5602544098144149'],
[0.001, 1e-06, 'ResNet50', '5999', '0.5492508944041943', '0.5531204307646839'],
[0.001, 1e-06, 'ResNet50', '4999', '0.41615861468994997', '0.5154658250884621'],
[0.001, 1e-06, 'ResNet50', '3999', '0.5143879551987347', '0.5587546972494019'],
[0.001, 1e-06, 'ResNet50', '2999', '0.42834841753441816', '0.5310267749846274'],
[0.001, 1e-06, 'ResNet50', '1999', '0.25384838103874824', '0.36104032478907166'],
[0.007, 1e-06, 'ResNet50', '999', '0.2944916481477483', '0.5693084445434444'],
[0.02, 1e-06, 'ResNet50', '999', '0.019993391450253035', '0.07689076086250332'],
[0.007, 1e-06, 'ResNet50', '14999', '0.7214107184522828', '0.636060504328521'],
[0.02, 1e-06, 'ResNet50', '14999', '0.7560974352470866', '0.6171202339780824'],
[0.02, 1e-06, 'ResNet50', '13999', '0.7159250679900953', '0.6165339897017488'],
[0.007, 1e-06, 'ResNet50', '13999', '0.7745965984843208', '0.6688662936989065'],
[0.02, 1e-06, 'ResNet50', '12999', '0.5929820537362916', '0.6201541032390737'],
[0.02, 1e-06, 'ResNet50', '11999', '0.7211768889945119', '0.6425712531463762'],
[0.007, 1e-06, 'ResNet50', '12999', '0.734949341597918', '0.6619384080702584'],
[0.02, 1e-06, 'ResNet50', '10999', '0.6697089863532353', '0.6192523573391349'],
[0.003, 1e-06, 'ResNet50', '999', '0.09398569200918695', '0.15911324242931235'],
[0.005, 1e-06, 'ResNet50', '999', '0.15899102807002985', '0.37855507569682845'],
[0.007, 1e-06, 'ResNet50', '11999', '0.6388711863992788', '0.587946162361211'],
[0.02, 1e-06, 'ResNet50', '9999', '0.5304031638143958', '0.5528560328054154'],
[0.02, 1e-06, 'ResNet50', '8999', '0.68728845519888', '0.6137120198306529'],
[0.003, 1e-06, 'ResNet50', '14999', '0.6634824518318633', '0.6290499801245611'],
[0.007, 1e-06, 'ResNet50', '10999', '0.7806016165062731', '0.6748571775311574'],
[0.005, 1e-06, 'ResNet50', '14999', '0.7037098506253969', '0.5962779805122232'],
[0.02, 1e-06, 'ResNet50', '7999', '0.5964828940256173', '0.5849274670400644'],
[0.003, 1e-06, 'ResNet50', '13999', '0.7355449504932314', '0.6378471735473484'],
[0.005, 1e-06, 'ResNet50', '13999', '0.6823025169400524', '0.5884425927875288'],
[0.02, 1e-06, 'ResNet50', '6999', '0.6557782527606646', '0.6020453279654785'],
[0.007, 1e-06, 'ResNet50', '9999', '0.7333160709085221', '0.6160648907839243'],
[0.003, 1e-06, 'ResNet50', '12999', '0.628317178137347', '0.5613029729929246'],
[0.005, 1e-06, 'ResNet50', '12999', '0.7124899786839008', '0.6140220733065235'],
[0.02, 1e-06, 'ResNet50', '5999', '0.6990964082934095', '0.605440183446136'],
