[0, '0.6538115019459467', '0.5774511170717955', '11:02:18.150454', '11:31:07.456291'],
[1, '0.6781946817001324', '0.6389423274559303', '11:31:25.522013', '12:00:16.384434'],
[2, '0.7628707650568805', '0.618540531694894', '12:00:34.026713', '12:29:28.392921'],
[3, '0.6437641121851676', '0.5737699928189898', '12:29:45.509181', '12:58:56.984546'],
[4, '0.6980628457424866', '0.6278449019535894', '12:59:16.645773', '13:28:20.850113'],
[5, '0.7064368136823959', '0.576763020437397', '13:28:38.621800', '13:57:37.822212'],
[6, '0.7035203677596307', '0.5934774024558823', '13:57:56.443759', '14:27:02.246889'],
[7, '0.7031904768618786', '0.6213370379674491', '14:27:20.490044', '14:56:30.603135'],
[8, '0.7007136877173313', '0.5857004450039478', '14:56:49.651264', '15:25:55.070322'],
[9, '0.7039373363158805', '0.6352048247774782', '15:26:13.751382', '15:55:22.299399'],
[10, '0.6936164608096768', '0.6259625837856885', '16:06:14.685148', '16:34:40.900946'],
[11, '0.6949509842777394', '0.5836891667792413', '16:34:58.996603', '17:03:46.023742'],
[12, '0.7238007060069863', '0.606471876753103', '17:04:04.346851', '17:32:40.520850'],
[13, '0.7617426062396244', '0.5945259968936731', '17:32:57.271381', '18:01:27.652057'],
[14, '0.7132534985988853', '0.6226846536402568', '18:01:44.404336', '18:30:29.959702'],
[15, '0.7160370352861046', '0.6045520656786589', '18:30:48.208699', '19:00:03.709538'],
[16, '0.6489780979481738', '0.6022913679676413', '19:00:21.801321', '19:29:35.032153'],
[17, '0.7398300428104805', '0.5754724164479839', '19:29:54.084333', '19:59:03.075279'],
[18, '0.7039446989896476', '0.6159762289183206', '19:59:19.539790', '20:27:59.007279'],
[19, '0.7330814438589663', '0.5740830101407287', '20:28:16.360070', '20:56:50.549473'],
[20, '0.703901584048978', '0.6254794343020745', '21:24:05.506580', '21:52:35.790216'],
[21, '0.695150382791409', '0.6502700590027899', '21:52:52.745103', '22:21:40.400202'],
