[20, '0.46928818696136565', '0.555671433342547'],
[0, '0.0786801584957983', '0.5132296215074119'],
[0, '0.6955149158117525', '0.6353325952264678'],
[21, '0.7165684798386629', '0.5952040771455981'],
[1, '0.7488534338053702', '0.6252309530429042'],
[22, '0.6200150199472072', '0.5773812190469183'],
[2, '0.7742832902187314', '0.6214590429162351'],
[23, '0.7291436274455794', '0.5960024521563354'],
[3, '0.6748603703513703', '0.6336083871208799'],
[24, '0.7462626107389936', '0.5901493088808207'],
[4, '0.6841795058999866', '0.6055047950188293'],
[25, '0.7272216779415234', '0.6419224887463187'],
[5, '0.6869776277076146', '0.60265300871661'],
[26, '0.6759572156781142', '0.6341078175679797'],
[6, '0.7182327540421373', '0.562210486171392'],
[27, '0.7389903387703105', '0.587178225527109'],
[7, '0.7399899719101961', '0.6264330089509483'],
[28, '0.7446335494846232', '0.6055741090812019'],
[8, '0.688372217786394', '0.5731264284564832'],
[29, '0.7038724322415353', '0.5945494776001091'],
[9, '0.7538170151041447', '0.6133101649961243'],
[30, '0.689682877111373', '0.6440354310208116'],
[10, '0.7119243808741784', '0.5972060772174769'],
[31, '0.7620985555649435', '0.6410149954638356'],
[11, '0.7479320097835502', '0.6194940900406095'],
[32, '0.71626734489784', '0.6382894797948305'],
[12, '0.6982887915270304', '0.5340596535330209'],
[33, '0.6879060890594315', '0.6247339354604633'],
[13, '0.6762270691315451', '0.6120664444505055'],
[34, '0.709500484138148', '0.6508924541240872'],
[14, '0.7171846812391248', '0.6283489025606672'],
[35, '0.733111399972216', '0.6263668887136957'],
[15, '0.7359013744557005', '0.6182683802535454'],
[40, '0.6103105209619686', '0.5850140581703815'],
[41, '0.7196452684154088', '0.5781249197774596'],
[42, '0.7884353427464235', '0.6069118019767407'],
[43, '0.647249587841746', '0.582037587906244'],
[44, '0.7177160621939647', '0.6389714805797622'],
[45, '0.7034799761538818', '0.5845080101684672'],
[46, '0.718998790193852', '0.6384609893292998'],
