[0, '0.7447744423565134', '0.6210174714044673', '10:58:42.666401', '11:17:51.293661'],
[20, '0.7175640054132916', '0.5964293905506975', '10:58:44.732465', '11:19:36.311780'],
[1, '0.7315827524876785', '0.5834171650982312', '11:18:08.923275', '11:37:16.424929'],
[21, '0.6536049321556319', '0.589096679955938', '11:19:56.000864', '11:41:00.985071'],
[2, '0.7273373357157997', '0.5755581653072411', '11:37:33.688396', '11:56:47.232214'],
[22, '0.7277278601239165', '0.5814447025448656', '11:41:21.653109', '12:02:34.741086'],
[3, '0.7097651488353993', '0.5450385796446874', '11:57:04.123391', '12:16:22.392901'],
[23, '0.6536398461884888', '0.6273130549359005', '12:02:54.208607', '12:24:12.562413'],
[4, '0.7887114856654267', '0.6757651935584121', '12:16:40.207624', '12:35:59.935817'],
[24, '0.7224989952612025', '0.6100158282678857', '12:24:33.469563', '12:45:25.702183'],
[5, '0.7653343652635678', '0.6332413901976626', '12:36:18.382693', '12:55:44.571339'],
[25, '0.721390774279447', '0.6362469394598197', '12:45:45.297627', '13:07:06.965419'],
[6, '0.7255908155110303', '0.6531012781060966', '12:56:03.486552', '13:15:27.187768'],
[26, '0.6828055107502101', '0.6019966369393159', '13:07:28.037350', '13:28:30.412591'],
[7, '0.7019628856557706', '0.6228398828070045', '13:15:46.483881', '13:35:11.862141'],
[27, '0.725355727182744', '0.6076853629052117', '13:28:50.876708', '13:50:05.317538'],
[8, '0.7686542422554207', '0.6122905175711546', '13:35:31.440077', '13:54:56.645785'],
[28, '0.6877507645138146', '0.5703002838389497', '13:50:25.933250', '14:11:43.396275'],
[9, '0.6910047366695082', '0.638129186969793', '13:55:14.634984', '14:14:36.589456'],
[29, '0.7229756645936952', '0.6423561043987505', '14:12:02.937943', '14:33:16.732984'],
[10, '0.7448324611994473', '0.6513130163998909', '14:14:55.287326', '14:34:12.314406'],
[11, '0.6806764948048108', '0.5827847557105919', '14:34:30.725893', '14:53:50.740124'],
[30, '0.7636706472482924', '0.6474588251401402', '14:33:36.457256', '14:54:55.221838'],
[12, '0.7167021352325242', '0.6018529861740324', '14:54:09.038772', '15:13:18.435885'],
[31, '0.7426702016266816', '0.6071964178917042', '14:55:15.899206', '15:16:18.183138'],
[13, '0.7286494685193217', '0.6303049483108738', '15:13:36.263142', '15:32:48.151824'],
[32, '0.7498374918985322', '0.6012124187051692', '15:16:37.909792', '15:37:51.266813'],
[14, '0.6867557126124345', '0.638185582042443', '15:33:05.797247', '15:52:15.384342'],
[33, '0.6588311455085736', '0.6297857879104578', '15:38:10.861143', '15:59:12.544568'],
[15, '0.7449537392010253', '0.6305288036088071', '15:52:33.871076', '16:11:45.390769'],
[34, '0.720172258370314', '0.594705354621033', '15:59:33.309842', '16:20:57.210595'],
[16, '0.7265712368923435', '0.6162446457602445', '16:12:02.512058', '16:31:19.898949'],
[35, '0.7036692793757655', '0.6006888100158339', '16:21:17.522914', '16:42:32.320092'],
[17, '0.7937500960540937', '0.6555960197801058', '16:31:38.508317', '16:50:49.629493'],
[36, '0.7483329690621577', '0.634159544633076', '16:42:51.973664', '17:04:04.347804'],
[18, '0.6741846048103044', '0.6154884643754115', '16:51:07.007826', '17:10:22.852938'],
[37, '0.6856925760250402', '0.5965010391848459', '17:04:25.723830', '17:25:58.776032'],
[19, '0.7636560360181701', '0.6170673188984632', '17:10:42.187894', '17:29:58.419795'],
[38, '0.6934755427300844', '0.5891869209165236', '17:26:18.485540', '17:47:24.388383'],
[39, '0.7389498949784306', '0.6194646761647974', '17:47:44.762342', '18:09:01.766153'],
