[20, '0.7870329817576881', '0.6291736603298965'],
[0, '0.6923888053028495', '0.6669913461853464'],
[21, '0.6848272978390332', '0.6284775245628136'],
[1, '0.7959770714865304', '0.6054793936535214'],
[22, '0.763697816236544', '0.6184808565522636'],
[2, '0.7071194272054846', '0.6041632236007968'],
[23, '0.7347128558044606', '0.6111017773591687'],
[3, '0.7162995138688488', '0.5883635987865367'],
[24, '0.6963976575539373', '0.5803097955494292'],
[4, '0.7324878281346446', '0.5903874015970144'],
[25, '0.7163728799590254', '0.6172825042278312'],
[5, '0.7467458396071088', '0.600471491343223'],
[26, '0.7354913729890193', '0.6032920422603535'],
[6, '0.7980388195009728', '0.6431602364797883'],
[27, '0.6650115235045739', '0.6169739102910647'],
[7, '0.562530058418027', '0.5281871608084985'],
[28, '0.7646623638797726', '0.600528664858514'],
[8, '0.7998666171738402', '0.6408056512789209'],
[29, '0.7951460582271409', '0.6346829750489871'],
[9, '0.6595085049945263', '0.6699344064604974'],
[30, '0.68100686850765', '0.6004545985935892'],
[10, '0.7731515528453949', '0.6457979990580803'],
[31, '0.8040479137502052', '0.6243158536492345'],
[11, '0.7412091482663179', '0.6336809086064624'],
