[0, '0.0030788658069863745', '0.004319923662955407'],
[1, '0.000773426240325291', '0.001794188890439524'],
[2, '0.001226734161464153', '0.04894717819406123'],
[3, '0.0034684685242515043', '0.021123941263597238'],
[4, '0.0036876190547428223', '0.034698451448127714'],
[5, '0.0007121228899021083', '0.045932040653275684'],
[6, '0.005730014250664706', '0.049736393981298255'],
[7, '0.0007408145898213468', '0.08969470514491637'],
[8, '0.0036569093382905356', '0.03860650229183162'],
[9, '0.0028831547195922193', '0.08003518956380343'],
[10, '0.020917032714093793', '0.30043543860290417'],
[11, '0.0021168160478231444', '0.00439565089362236'],
[12, '0.000871356250905101', '0.0014640151490076098'],
[13, '0.003358178486362686', '0.05580730772861346'],
[14, '0.0009466572863848983', '0.0020795642868588816'],
[15, '0.07362967788703782', '0.24607622440709515'],
[16, '0.008649939164476097', '0.27896439445048143'],
[17, '0.0033570256672653767', '0.1886443105325179'],
[18, '0.006566383921037698', '0.05804581804572793'],
[19, '0.01871101164014902', '0.10625035502545752'],
[20, '0.007172184594341338', '0.23036458189750672'],
[21, '0.0030784457928535007', '0.009838829237691598'],
[22, '0.000737590505340437', '0.0018154629879872423'],
[23, '0.0011098873476401922', '0.0017389539422811649'],
[24, '0.0009743744009894978', '0.0017260844482809591'],
[25, '0.006131466054790211', '0.12607494264045865'],
[26, '0.0045726259584738084', '0.23151486944054867'],
[27, '0.0008537433494321966', '0.003345602796233238'],
[28, '0.0015078955413850795', '0.16432301536782026'],
[29, '0.00035752439579885936', '0.0010165211819247923'],
[30, '0.0008431027787603486', '0.05432834626960596'],
[31, '0.001629697066395102', '0.02204226183708257'],
[32, '0.001429855557796658', '0.0029393037973297715'],
[33, '0.004016604006713347', '0.2749028845688589'],
[34, '0.001045590146970046', '0.04041266019851629'],
